ID;canonicalsmiles;xlogp;polararea
139588803;CCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.800;377000
118707673;CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O;2.200;223000
139589195;CC(C)CCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O;3.300;223000
139589196;CCCCCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O;3.600;223000
139589302;CCCCC(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)OC)O)O;3.400;212000
146684684;CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;5.900;354000
146684685;CCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.200;354000
146684686;CCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;6.900;354000
146684687;CCCCCCCCCC(CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)O)O;7.300;354000
10509111;CCC(C)C1C(=O)OC(CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)C(C)O)CO)CC(C)C)CCCCCCC(C)C;6.200;212000
10532731;CCCCCCCC1CC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O1)C(C)CC)CC(C)C)C(C)O)CO)CC(C)C;5.400;212000
125879;CC(C)CCCCCCCCCCCC(CC(=O)NCC(=O)NC(CO)C(=O)O)OC(=O)CCCCCCCCCCCC(C)C;11.100;142000
508500;CCCCCCC1C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)O1)C(C)O)CO)C(C)CC)CC(C)C)C)C;3.900;204000
14557510;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;134000
146048039;CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CCCCCC(=O)O)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C;7.500;316000
133065658;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C)O.CC(=O)O;NULL;261000
10349186;CCCCCCCCCCCCCC(CC(=O)NCC(=O)NC(CO)C(=O)O)OC(=O)CCCCCCCCCCCC(C)C;10.900;142000
18544319;CC(C)CC(C(CC(=O)NC(CO)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)NC(C(C)CC(=O)C(C(C)C)NC(=O)CC(C)C)C(=O)N;-1.400;258000
44294697;CC(C)CC(C(CC(=O)O)O)NC(=O)C(C)NC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)C(C)O)O;1.500;244000
44331168;CCC(C)(C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)N;-0.300;249000
44331186;CCOC(=O)CC(C(CCCCNC(=O)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.300;163000
10006228;CCC(C)C(C(=O)NC(CC(C)C)C(CC(=O)O)O)NC(=O)C(C(C)CC)NC(=O)OC(C)(C)C;3.700;154000
10392668;CCC(C)C(C(=O)NC(CC(C)C)C(CC(=O)O)O)NC(=O)C(C(C)OC(C)(C)C)NC(=O)OC(C)(C)C;3.300;163000
10438059;CCC(C)C(C(=O)NC(CC(C)C)C(CC(=O)OCC)O)NC(=O)C(C(C)OC(C)(C)C)NC(=O)OC(C)(C)C;4.000;152000
44324954;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;3.600;134000
44354624;CCC(C)(C(=O)O)NC(=O)C(C(C)C)NC(=O)C(C(C)C)NC(=O)CC(C(CC(C)C)NC(=O)C(C)NC(=O)CC(C(CC(C)C)N)O)O;-0.300;249000
44381791;CCC(C)(C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(CC(=O)NC(C)C(=O)NC(CC(C)C)C(CC(=O)O)O)O)N;-0.300;249000
44383576;CCOC(=O)CC(C(CC(C)C)NC(=O)C(C(C)C)NC(=O)CC(C)C)O;2.800;105000
